headline,category
When the tour comes to town,interrogative
Tadaa  Dinner        s ready,imperative
Pause please,exclamatory
Living a childhood     dream,np_drop
Govt  giving finishing touches to  Clean Authority of Telangana,qws
Assembly session from January,frag
Activists hail court s move,declarative
Where is the party at,interrogative
Give priority to physical education,imperative
Flying high,exclamatory
Hanging Church,np_drop
SC should dispel uncertainty over cracker ban soon,qws
Assurance on rail link survey,frag
Adding colour to lives,declarative
Tsunami houses  free  but at what cost,interrogative
Encourage children to be fitness freaks,imperative
Take THREE,exclamatory
Gaming  a mental health concern,np_drop
Despite revolutionary measures  I was branded a criminal,qws
A  swagatham  to Telugu films,frag
Adityanath off the hook,declarative
Why leaders matter,interrogative
Don t let children be idle,imperative
Get  set  go,exclamatory
Ringing in new year with traditional music,np_drop
Yettinahole is money looting project,qws
A treat for handicraft connoisseurs,frag
Administrative machinery misused for Sadhana Sambhrama Yatre  Eshwarappa,declarative
Have to make every opportunity count  Rahul Why mantras praise Him,interrogative
Pump up the volume,imperative
Baking up a storm,exclamatory
Meeting held,np_drop
Education has now become a business,qws
Auto  taxi strike on Jan,frag
Agri officials expect bumper yield in kharif,declarative
What s your focus,interrogative
Get in line,imperative
Bread  for a change,exclamatory
Portraying the life and myths of Paniyars,np_drop
CM did not reciprocate Parrikar s offer,qws
AVI  AIRINDIA LAPTOPS,frag
Airline crew member was arrested,declarative
What made the Plesiosaur a strong swimmer   When looks deceive,interrogative
Call to provide aid to migrants hit by Ockhi,imperative
It s a wrap,exclamatory
Pedalling the way ahead,np_drop
polls will be my last,qws
A youth icon,frag
Akali Dal slams loan waiver scheme,declarative
Where s the party,interrogative
Check in and smell the tea,imperative
Worth the buzz,exclamatory
Finding land for schemes an uphill task,np_drop
Student friendly  Budget for MG varsity,qws
Balancing act,frag
Alleged libel  Suit Dismissed,declarative
When humans and orcs join forces,interrogative
TURN the pages,imperative
And that s a checkmate,exclamatory
Just getting started,np_drop
Addicted to Carnatic music,qws
bandipur,frag
Alleged middleman gets bail in NBCC graft case,declarative
What can I do,interrogative
Mark your calender,imperative
Happy birthday  inuka,exclamatory
Lives upto family legacy,np_drop
The reward of failure is indeed creativity,qws
Bangalore,frag
All that glitters could be food or hair,declarative
The State of no return,interrogative
Catch up,imperative
Chemical ban has helped closing up of ozone layer hole,exclamatory
Packs a musical punch,np_drop
I don t carry my own playlist,qws
Battle of the bookworms,frag
Ambani apologises for the  anguish  of  G trial,declarative
What clicked for Dhinakaran,interrogative
Be our volunteer writer,imperative
Find out,exclamatory
Decked up,np_drop
I advised Hegde  Simha against aggressive agenda,qws
Belagavi,frag
Amended Companies Act notified,declarative
PU principals to spend on college works,interrogative
Check out the events in your neighbourhood,imperative
Flying high,exclamatory
Casting off the veil,np_drop
Centre must act to combat pollution,qws
bhadradri kothagudem,frag
An evening of textile history and dance and storytelling,declarative
How ad firms employ gadgets to help them read your mind,interrogative
Get water connection through toll free number,imperative
This sounds right,exclamatory
Hitting the GST hurdle,np_drop
Centre must act on a war footing to combat pollution,qws
Bhava of humility,frag
An NRI doctor nurtures his roots,declarative
PPP to boost affordable housing,interrogative
Celebrate the Eve,imperative
Sing along,exclamatory
Lighting up their life,np_drop
Punish the guilty for their crimes  not their poverty,qws
Bhopal,frag
Apple investors urge action to curb child gadget addiction,declarative
Will bitcoin help in real estate,interrogative
Develop deeper learning,imperative
Look who s writing,exclamatory
Going beyond formulas,np_drop
VHP won t allow new masjid in Ayodhya,qws
BIZ NMDC DISINVESTMENT,frag
AP start up s solution to secure sensitive data,declarative
PPP to boost affordable housing,interrogative
Listen to these four girls,imperative
This sounds right,exclamatory
Learning directly from industry experts,np_drop
Law on data protection in process,qws
BIZ ORCHID PHARMA USFDA,frag
Are banks of Kushak Nallah fit for human habitation  HC,declarative
How Old,interrogative
Hail the guru,imperative
Make way for Australia s mega marsupials,exclamatory
Rousing reception for Palimar seer on his Pura Pravesha,np_drop
Mahadayi rath yatra,qws
BRIEFLY,frag
Arms dealer Sanjay Bhandari declared as proclaimed offender,declarative
Can State catch up in railway electrification,interrogative
Meet to discuss move to charge road toll,imperative
Smallest christmas card of the season,exclamatory
Reliving the pain of Ockhi,np_drop
Send triple talaq Bill to Parliamentary panel,qws
Briefly,frag
Artistes regale audience,declarative
Are farmers distressed across India,interrogative
Design your jewellery,imperative
The Robo Torch Bearer,exclamatory
Cleaning of overhead tanks in villages set to go hi tech,np_drop
Improve government schools,qws
Calendar released,frag
Assam CM holds roadshow and woos investors,declarative
Can State catch up in railway electrification,interrogative
Be our volunteer writer,imperative
Upping the ante,exclamatory
Paving the way for a healthy lifestyle,np_drop
No tie up with BJP now,qws
A ticket that bounced for BJP,declarative
Now  it s time for second innings,interrogative
Meet the new residents of Chennai,imperative
Find out,exclamatory
Braving the cold,np_drop
Over      lakh PDS Smart Cards distributed,qws
Carry on with courage,frag
Attract more tourists say Governor,declarative
Rahul Gandhi coming for jatara,interrogative
Alert to conduct first aid workshop,imperative
Get going  Delhi,exclamatory
Casting a wide net,np_drop
I ll always be team Margaret,qws
Chain snatched,frag
Australia complete     Ashes series rout of England,declarative
Can electoral politics learn from cricket,interrogative
Probe into belly dance at U P  college,imperative
Fun with Phrasal Verbs,exclamatory
Traumatising moments for patients,np_drop
We should encourage multiple voices,qws
Comedian s Swachh campaign,frag
Australia s Lynn out of England ODI series,declarative
No Metro rail for Old City,interrogative
Lend them your ears,imperative
Tis the season to be jolly,exclamatory
Making spect actors of us,np_drop
Middle class is a mindset,qws
Contested history,frag
Avoid belching at meetings and State Bank tells employees,declarative
Do literary allusions hurt,interrogative
Gear up for,imperative
Life could have originated in space,exclamatory
Clearing the air on the bail in clause,np_drop
Middle class is a mindset,qws
Data theft,frag
Azarenka pulls out of Australian Open,declarative
Kochi   Version,interrogative
Probe into misuse of diplomatic number plate,imperative
And the Seagulls take flight,exclamatory
Counselling for MPT course,np_drop
I have made my own life,qws
Deliciae Patisserie,frag
Azhar and co  draw BCCI panel s attention to HCA s  illegal  special general meeting,declarative
When Agasthya s butterflies came calling,interrogative
Focus on toilet infrastructure to improve city s  swachh  ranking,imperative
New detective in town,exclamatory
Fighting it out,np_drop
No plan to take away J K s special status,qws
Dhaka  Jan          AFP,frag
Baby from Iraq with heart ailment treated successfully in Belagavi,declarative
Why is the fiscal deficit widening,interrogative
Plan to create marketplace for DWCRA products,imperative
All hail Shakespeare,exclamatory
Floating solar cells to produce fuel from water Helping others can boost confidence of teenagers Celebrating high energy,np_drop
Delhi could have been model for solid waste management,qws
dharmapuri,frag
Baby girl found dead in drain,declarative
May I have some more,interrogative
Say  no  to drugs,imperative
Xmas unboxed,exclamatory
Playing it big with Silambam,np_drop
Muslim bodies not consulted on talaq Bill,qws
Dharwad,frag
Bail plea of juvenile murder accused was dismissed,declarative
How India rejects bad patents,interrogative
Keep an eye on home loan rates,imperative
The finale is here,exclamatory
Celebrating high energy,np_drop
Disaster management system failed during Cyclone Ockhi,qws
Dindigul,frag
Bandh by Dalit outfits in Dharwad total  peaceful,declarative
Has  leggie less  India missed a trick,interrogative
Long live kid lit,imperative
Find out,exclamatory
Making more than a statement,np_drop
Number of schools seeking affiliation to CBSE has risen,qws
Discussion,frag
BARC to set up gallery at RSC,declarative
May I have some more,interrogative
Beware  A new malware is spreading fast,imperative
Principals  write to us,exclamatory
Nesting of migratory birds in Chintapalli under threat Steaming ahead at top speed,np_drop
A champion of public cause,qws
Emerging from darkness,frag
Bedi impressed by students  progress in school revisit,declarative
Selling a device  Ensure data is erased  not just formatted,interrogative
Check if WhatsApp will work on your phone from Dec,imperative
Forward  Munch,exclamatory
Walking the red CARPET,np_drop
Give work to all and pay wages in time,qws
ENGAGEMENTS,frag
Bibliophiles throng World Book Fair  New Delhi,declarative
Did our solar system form in a bubble around a massive star,interrogative
Let the beer be fresh and juicy,imperative
Tadaa  Dinner        s ready,exclamatory
Busting the myths on tax evasion,np_drop
Cultivate a habit of eating healthy food,qws
Erode,frag
Bird flu  Namakkal district launches precautionary measures,declarative
Is this the new normal,interrogative
Tell a tale,imperative
Forward  Munch,exclamatory
Ending the year on a high,np_drop
Govt  should manufacture M sand,qws
Exhibition on Gandhi in New Jersey,frag
Bird flu  Namakkal district launches precautionary measures,declarative
Does sugar really make children hyper,interrogative
Meet the wild bull,imperative
It was a single wave of migration,exclamatory
Countering growing inequality,np_drop
Include yoga in curriculum,qws
Film,frag
Birds preferring tropical climate take a fancy to Kuttanad,declarative
Pelican deaths caused by contamination in food chain,interrogative
All aboard,imperative
Now you can read comic books on Indian soldiers,exclamatory
Scaling new peaks,np_drop
Collect documents for research,qws
Follow your heart,frag
BIS standard helmets  Police to relax enforcement of rule till month end,declarative
Not so smart anymore,interrogative
Meet the wild bull,imperative
Upping the ante,exclamatory
Harnessing citizen science to predict floods,np_drop
Withdraw order declaring probationary of teachers,qws
Game on,frag
BJP has hidden agenda  Kodiyeri,declarative
Want to escape  You ve got five reasons to,interrogative
Born to ride,imperative
Global coral bleaching is on the rise,exclamatory
Battling gender norms  one white t shirt at a time,np_drop
Amendment to Article      J  helped to overcome backwardness in HK,qws
Get crafty,frag
BJP TDP ties under strain in Prakasam,declarative
Can you change destiny,interrogative
Provide compensation to construction workers,imperative
Spot the error,exclamatory
Blending sports with medical skills,np_drop
The swim with sharks will continue,qws
Ghaziabad,frag
BJP workers stage black flag protest,declarative
Toast to good health,interrogative
Call to promote tourism,imperative
Flights which arrive before they take off,exclamatory
Designing her career,np_drop
We should encourage multiple voices,qws
Glimpses into ancient music,frag
BJP youth leader held for abetting suicide of girl,declarative
What is a superbug,interrogative
Call to give aid to all fishers,imperative
Forward  Munch,exclamatory
Transcending barriers  satiating palates,np_drop
You have to be a good listner,qws
Greenery along ORR inspected,frag
Break silos of information say PM,declarative
Holiday ornament in space,interrogative
Crack on road set right,imperative
A warming signal this winter,exclamatory
Going beyond formulas,np_drop
Stop the sequels,qws
Group show,frag
Bright young minds all set to battle for top honours,declarative
Can humans handle a three year trip to Mars,interrogative
Focus on safety in prawn units,imperative
Many properties  missing  in tax portal,exclamatory
Learning from nature,np_drop
I m an adventurer at heart,qws
guntur,frag
Buildings on encroached land razed at Kottivakkam,declarative
Buffet or a DJ night,interrogative
Brace yourself for more back breaking rides,imperative
Have a blast  but not literally,exclamatory
Stalking cases up but convictions still,np_drop
Escobar was a psychopath but hero for many,qws
gurugram,frag
Burnt body of    year old found in Jalna,declarative
A glimmer of hope,interrogative
Let the show begin,imperative
Drop it,exclamatory
Rating system for colleges soon,np_drop
I m not anyones fangirl,qws
Hashtag Raghuvardhan Kotla,frag
Burnt body of    year old found in Jalna village,declarative
Science fiction or science lesson,interrogative
Lose yourself in nature here,imperative
Get set  go,exclamatory
Establish Ramanujam University in Erode,np_drop
A song sung brilliantly can destroy me,qws
Hassan,frag
Businessman abducted by ex employees for Rs    cr,declarative
Yogishgouda Goudar s wife goes missing,interrogative
Gear up for a chilly weekend,imperative
Let s dance,exclamatory
striking transformation of a State run hospital,np_drop
One thing amazing about dance is its diversity,qws
Heggade appeals for peace,frag
Businessman abducted by ex employees for Rs    crore,declarative
Jagan to Naidu  Where is Rs         cr  liquor revenue going,interrogative
Embrace your oddities,imperative
Let s celebrate all things related to literature,exclamatory
Learning organic lessons from tribal farmers,np_drop
Replace stones with a concrete devider,qws
Held for rape and murder,frag
Butterfly garden to stay put at Kanakakkunnu,declarative
Food for pourakarmikas from Indira Canteens,interrogative
Stand up for yourself,imperative
Happy new year,exclamatory
Painting contest postponed,np_drop
I have seen my friends drive recklessly,qws
hemani Bhandari,frag
Bypass plan may make care home residents homeless,declarative
Segregation of sexes on New Year s Eve,interrogative
Look before you leap,imperative
Upping the ante,exclamatory
Pending work on NH  to resume on January,np_drop
Lead us from darkness to light,qws
Hizb claims AMU scholar has joined it,frag
Calicut airport s expansion hopes dashed,declarative
Storm brewing  Gujjars unhappy with    quota,interrogative
Say  no  to drugs,imperative
First warning,exclamatory
Turning e waste into art at Ghana s toxic dump,np_drop
You ve to be a good listner to be a paranormal hunter,qws
Hizb claims AMU scholar joins ranks,frag
Call for a spirit of sacrifice among teachers,declarative
Raw deal for Kannur passengers,interrogative
Check if WhatsApp will work on your phone from Dec,imperative
Find out,exclamatory
Pinning a page turner,np_drop
I m not obsessed with the idea of fame,qws
H M pulls  racist  ad,frag
Campaigning for Jakkepalli MPTC bypoll peaks,declarative
A Rs       lakh crore scam   just notional,interrogative
Look out for the Heritage Palace on wheels,imperative
Will the real Abheri stand up please,exclamatory
Suffering from sleeplessness and depression  jobless man advised to close FB account,np_drop
Pak  fought largely using own resources,qws
Honour,frag
Cancellation of trains revoked,declarative
Will it be Delhi or Vidarbha,interrogative
Re examine the Bill,imperative
Monster Milkshakes,exclamatory
Steaming ahead at top speed,np_drop
There were more policemen than revellers,qws
Honoured,frag
Cannot win Tests if you lose wickets in clusters  says Virat Kohli,declarative
To Burst or not to Burst,interrogative
JNUSU calls for boycott of new attendance policy,imperative
Shaping young minds,np_drop
Ministers fighting for separate religion status for Lingayat should resign,qws
Honour for Sathiyan,frag
Canteen location opposed,declarative
Wahlberg to direct,interrogative
High Court grants iconic  Tunday Kababi  shop exclusive,imperative
Raising the mic bar,np_drop
Avoid threshing of harvested crops on roads,qws
Hosur,frag
Can t vacate restraint order on strike say HC,declarative
What was the top trending search query on Google in,interrogative
right to trademark,imperative
Raiding granny s recipe book,np_drop
Increase in gross enrolment ratio in higher education,qws
Hubballi,frag
Case against Adityanath withdrawn,declarative
What s the good word,interrogative
Dejunk your kitchen,imperative
Setting the tone for the future,np_drop
Repeated requests fell on deaf ears,qws
Indian Seed Congress in Colombo next month,frag
CCFC gunning for revenge,declarative
Cup rice anyone,interrogative
Teach your kids to fly,imperative
Steaming ahead at top speed,np_drop
Natural farming only solution,qws
India s globalisation game,frag
Celebration of youth power at NIT fest,declarative
Robots  job poachers,interrogative
Follow your heart,imperative
Wedding bells,np_drop
In honour of love and egalitarianism,frag
Central schemes to benefit farmers say Minister,declarative
is Wassenaar Arrangement important to India,interrogative
Lend the senses to the arts,imperative
Shaping young minds,np_drop
Make Janmabhoomi a success,qws
in school,frag
Centre crippling indigenous industry say AITUC,declarative
Not registered  RERA not the forum for you,interrogative
Call to start work,imperative
Setting the tone for the future,np_drop
Cricket betting effectively checked,qws
international,frag
Centre mulls incentives for States promoting exports,declarative
How rampant is fertilizer use,interrogative
Build a positive frame of mind,imperative
Shaping young minds,np_drop
CM making a mockery of democracy,qws
In the world of words,frag
Centre to launch Coir Mission,declarative
Politics in flood compensation,interrogative
Teach them with everyday examples,imperative
Getting fit the fun way,np_drop
Govt  evaluating measures for peace,qws
Itanagar,frag
Chancellor s award result of teamwork say Cusat VC,declarative
Who created them,interrogative
Talk to children about current affairs,imperative
GETTING TO THE POINT,np_drop
Make sure benefits reach the beneficiaries,qws
Jerald shines,frag
Children and civil service aspirants are targets,declarative
Does the label matter,interrogative
Give children unbiased information,imperative
Steaming ahead at top speed,np_drop
Ensure fire safety compliance,qws
JH DOGS GIRL,frag
China oil spill sparks environmental disaster fears,declarative
How to write  real  fiction,interrogative
Empower children with positive news,imperative
Setting the tone for the future,np_drop
Law too protective of juvenile delinquents,qws
kakinada,frag
Cinevista served notice for lack of firefighting system,declarative
How will you stop underage drinking,interrogative
Talk to children about reality sans the gory details,imperative
Hitting a wall,np_drop
Law too protective of juvenile delinquents,qws
kalaburagi,frag
CITU backs striking TNSTC employees,declarative
How artificial intelligence beat human experts at poker,interrogative
Create a peace messenger,imperative
Preparing ground for a  WhatsApp election,np_drop
MP who hit AI official yet to be questioned,qws
Kannur,frag
CITU launches poster campaign against N plant,declarative
From where do writers write,interrogative
Spin a yarn,imperative
Missing boy s mother approaches HC,np_drop
RSS BJP represent the new Peshwai mentality,qws
karimnagar,frag
City students do well in CAT,declarative
Is that Harry Potter or Usain Bolt in the sky,interrogative
Bring Frosty home,imperative
Documenting life in the city of dawn,np_drop
Somehow  I play well under pressure,qws
Karnataka,frag
Class IX student commits suicide,declarative
Where is the party at,interrogative
WIN A PRIZE,imperative
Hearing on Aadhaar validity put off to Jan,np_drop
Filmmaking is war,qws
Kasaragod,frag
Class X students counselled on tackling pre exam stress,declarative
How smart is your sofa,interrogative
Check out the events in your neighbourhood,imperative
Creating awareness about eye donation,np_drop
Filmmaking is war,qws
Keep up the good work,frag
CM pulls up DUSIB officials over Delhi s homeless,declarative
What does your pitch deck need,interrogative
Comparing arrest of BSY with Indira Gandhi meaningless,np_drop
Elephants have provided us a cultural corridor,qws
kerala,frag
CM releases ZP diary,declarative
How smart is your sofa,interrogative
Tutelage  gurukula style,imperative
Seeking spiritual solutions,np_drop
Life has given me enough,qws
Khammam,frag
CM rules out increase in power tariff,declarative
Where s the party,interrogative
Shower of artistry,imperative
Lobbying for APOA posts takes curious turn,np_drop
Participation of wilful defaulters may weaken IBC,qws
kolkata,frag
CM seeks time to decide port land acquisition issue,declarative
What does your pitch deck need,interrogative
Be our volunteer writer,imperative
TAKING TO TECHNOLOGY,np_drop
Transformers in a different light,qws
kollam,frag
Cockfight arrangements     taken into custody,declarative
How smart is your sofa,interrogative
Glorious Eyes wins,imperative
Rekindling a love for vertical gardens,np_drop
The journey to good health,qws
koppal,frag
Collection of used tyres and glass waste,declarative
Do we know the other side,interrogative
Principals  write to us,imperative
Recreating box office magic,np_drop
The man behind landmark films,qws
kozhikode,frag
Combing operations launched in areas bordering MTR,declarative
How smart is your sofa,interrogative
Let innocence be innocence,imperative
Gearing up for,np_drop
Mysuru has a December to remember,qws
krishnagiri,frag
Committee seeks rights to conduct temple rituals,declarative
What does your pitch deck need,interrogative
Help students understand violence through resources,imperative
Challenging hues,np_drop
Panicked workers head back home,qws
Kurnool,frag
Committee to look at pay revision,declarative
How smart is your sofa,interrogative
Schools have to mould young minds,imperative
Smashing patriarchy with stylish prose,np_drop
Check post to monitor houseboats,qws
Lawbreaker,frag
Commuters hit hard as bus strike continues,declarative
Hitting a wall,interrogative
Let s football,imperative
Leaning towards Lanka,np_drop
Atal labs for    schools in Alappuzha,qws
Life,frag
Composting machine set up at Walmart store,declarative
Vala in race for Gujarat Chief Minister post,interrogative
Getting them contemporary,np_drop
Seed shortage hits pokkali farming,qws
Liza Koshy,frag
Conference on  disruptive thinking  at GITAM,declarative
Will Congress play own brand of  Hindutva card,interrogative
Talking point,np_drop
Punching system for Revenue staff,qws
Look back in positivity,frag
Cong  dharna today against sand mining,declarative
Where Christ and tricolour stand cheek by jowl,interrogative
Catching Misha in Mylapore,np_drop
Aarogya Jagratha for a disease free Kerala,qws
Lucknow,frag
Congress accuses Mehta of violating construction rules,declarative
For whom the waves strike,interrogative
Leaning towards Lanka,np_drop
Need greater public participation to keep city clean  Deputy Commissioner,qws
machilipatnam,frag
Cong  stands firm on demand for  EVM hackathon,declarative
How seasons drive a lizard s life,interrogative
Taking the city for a spin,np_drop
Stay warm and hydrated  Doctors,qws
Madurai,frag
Cops prevent Ambati Venkanna showdown,declarative
Why should film viewers buy food from theatres   HC to State,interrogative
Leaning towards Lanka,np_drop
Rs       lakh in invalid notes seized    held,qws
mahrajganj  u p,frag
Court asks forest department to initiate action against DFO,declarative
Need for a third front arises,interrogative
Heralding Christmas,np_drop
New prison complex to be inaugurated on January,qws
Makeover of MRTS on the cards,frag
Court directs ACB to lodge FIR against Garg,declarative
practising law,interrogative
Painting exhibition,np_drop
Transformers in a different light,qws
mandya,frag
Coutinho completes move,declarative
Will training more coaches develop more football talent,interrogative
Saving lake and livelihood,np_drop
Here s to a promising,qws
mangaluru,frag
Creating a level playing field,declarative
Why scrap when you can sell,interrogative
Facing extinction,np_drop
Here s to new beginnings,qws
manipal,frag
Cricket tourney for teachers,declarative
Srinivas to continue as Swachh ambassador,interrogative
Promoting philately among students,np_drop
Learn to look less at faults,qws
Master of all,frag
Crime rate in Kannur district declines say ADGP,declarative
Is      mn chateau another jewel for Saudi reformer,interrogative
Heeling touch in Darjeeling hills,np_drop
Nobody s gonna break my stride,qws
Mathura,frag
Criminals find a  cheap  way to stay off the police radar,declarative
What is Net neutrality,interrogative
Countering growing inequality,np_drop
Wide world of learning,qws
metro plus,frag
Curative properties of herbs discussed,declarative
What ails EPFO s pension plan,interrogative
Scaling new peaks,np_drop
Have your cake and eat it too,qws
MH BEEF,frag
Curbs on tobacco sale in Rajasthan,declarative
Summer skin in winter,interrogative
Harnessing citizen science to predict floods,np_drop
Money behind the magic,qws
MH BUILDER BOOKED,frag
Dagger dance killed    year old boy,declarative
Will it be flowers or precious stones,interrogative
Battling gender norms  one white t shirt at a time,np_drop
A gallant defence remembered,qws
MH GIRL SUICIDE,frag
Dalits stage dharna,declarative
Summer skin in winter,interrogative
Blending sports with medical skills,np_drop
For the farmer  by a farmer,qws
MH HOSPITAL KIN,frag
Dark clouds across Asia,declarative
What makes us drift apart,interrogative
Designing her career,np_drop
Learn to look less at faults,qws
MH TALATHI BRIBE,frag
De addiction campaign launch,declarative
Why I m hooked on Carnatic music,interrogative
Transcending barriers  satiating palates,np_drop
Negligence of HR CE officials claimed woman s life in Tiruchendur,qws
Miami  Jan          AFP,frag
Deans appointed for medical colleges,declarative
What India s student exodus means,interrogative
Going beyond formulas,np_drop
Rich people use four times more water than the average household,qws
Mickey mania,frag
Deepa axes aide from Peravai,declarative
How to save a film in six weeks,interrogative
Learning from nature,np_drop
Treating wastewater will lessen dependence on Cauvery,qws
Miscellaneous,frag
Delhi gets its common mobility card,declarative
Tantrik rituals  can panel question EO,interrogative
Stalking cases up but convictions still,np_drop
Potential of STPs not fully exploited,qws
MPEOs  to be appointed,frag
Delhi will finally get its voice in Parliament  Rai,declarative
How often do you eat   takeaway   meals,interrogative
Rating system for colleges soon,np_drop
Make list of development works taken up by Cong,qws
MRR CHENNAI TODAY FOR JANUARY     TUESDAY  FOR CHENNAI CITY FOR PAGE,frag
Detained Panama ship was released,declarative
The tallest boy,interrogative
Establish Ramanujam University in Erode,np_drop
I m just a human being,qws
Museum of memories,frag
Detention of trains irks passengers,declarative
The tallest boy,interrogative
striking transformation of a State run hospital,np_drop
Both Congress  BJP should release White Paper on development works,qws
Music,frag
Dior exhibition breaks     year record,declarative
PPP to boost affordable housing,interrogative
Learning organic lessons from tribal farmers,np_drop
Be passionate about managing zoos,qws
MUSIC,frag
Diploma student attempts suicide,declarative
is Maharashtra on the boil,interrogative
Painting contest postponed,np_drop
There s a need for national  regional strategies for snake management,qws
Music all around her,frag
Disqualified MLA denied entry into Assembly,declarative
Are you listening,interrogative
Pending work on NH  to resume on January,np_drop
Trawlers hit by purse seine boats using lights for fishing off Malpe,qws
Mysuru,frag
Disqualify MLA who joined BJP say Tripura Congress,declarative
Will the ad ban help,interrogative
Turning e waste into art at Ghana s toxic dump,np_drop
Telugu  a bridge language between north and south,qws
Nagercoil,frag
Doctors  body sends defamation notice to motivational speaker,declarative
What s your vocation,interrogative
Pinning a page turner,np_drop
Centre planning strategy to boost services exports,qws
Naidistch is favourite,frag
Domestic flights from Kannur by mid year,declarative
What is tetanus,interrogative
Suffering from sleeplessness and depression  jobless man advised to close FB account,np_drop
AIs won t really rule us  they will be very interested in us,qws
Naidu has ruined coop  sector  Jagan,frag
Don t cook food for drunk men  Ashok advises women,declarative
Panel flouted ethics in Tirumala,interrogative
Steaming ahead at top speed,np_drop
Need to bolster WTO process,qws
nalgonda,frag
Drama delivers enough delight,declarative
He who pays  wins,interrogative
Shaping young minds,np_drop
Northeast policy to aid trade with ASEAN,qws
namakkal,frag
